genre,titles,median_review_score,free_share
Indie,5912,1,0.187
Action,4825,0.817,0.197
Adventure,4088,1,0.158
RPG,2520,1,0.19
Casual,2506,1,0.237
Strategy,2498,1,0.199
Simulation,2258,1,0.18
Free To Play,1325,0.771,0.983
Massively Multiplayer,576,1,0.727
Early Access,568,1,0.29
Sports,428,1,0.371
Racing,372,1,0.263
Utilities,87,0.801,0.471
Design & Illustration,41,0.823,0.415
Animation & Modeling,40,1,0.6
Video Production,31,0.781,0.581
Game Development,23,0.85,0.435
Web Publishing,23,0.858,0.391
Education,20,1,0.35
